"WorkItemID","RequirementID","Priority","SubsystemCode","AssignedToID","AssignedToName","OpenedDate","ClosedDate","EstimateHours","ActualHours","WorkItemStatus"
"WI-0001","REQ-0001","MustShip","COMM-LNK","P-021","Ulrike Dalgleish","2025-01-08","2025-02-01","18.7","19.1","Closed"
"WI-0002","REQ-0002","ShouldShip","REL-MECH","P-017","Quentin Zielinski","2026-02-04","2026-02-14","12.2","10.3","Closed"
"WI-0003","REQ-0002","ShouldShip","REL-MECH","P-012","Liam Moreau","2025-10-23","2025-11-23","35.2","39.0","Closed"
"WI-0004","REQ-0003","Nice","NAV-SENS","P-020","Tomas Ustinov","2025-09-06","2025-10-31","25.7","36.4","Closed"
"WI-0005","REQ-0003","Nice","NAV-SENS","P-011","Katya Fairweather","2025-04-14","2025-04-19","10.3","8.0","Closed"
"WI-0006","REQ-0004","ShouldShip","PWR-MGMT","P-003","Camille Villalobos","2025-04-21","2025-05-04","16.5","14.5","Closed"
"WI-0007","REQ-0004","ShouldShip","PWR-MGMT","P-019","Sana Nakamura","2026-03-10","2026-04-24","16.1","20.8","Closed"
"WI-0008","REQ-0005","ShouldShip","COMM-LNK","P-002","Bruno Oyelaran","2026-05-10","2026-06-16","32.6","38.8","Closed"
"WI-0009","REQ-0005","ShouldShip","COMM-LNK","P-021","Ulrike Dalgleish","2025-05-27","2025-06-12","4.8","4.4","Closed"
"WI-0010","REQ-0005","ShouldShip","COMM-LNK","P-008","Hiroshi Ibarra","2025-08-22","2025-10-16","28.5","40.6","Closed"
"WI-0011","REQ-0006","MustShip","STRUCT-I","P-014","Nils Castellan","2026-06-09","2026-06-15","33.7","27.0","Closed"
"WI-0012","REQ-0006","MustShip","STRUCT-I","P-002","Bruno Oyelaran","2025-03-12","","4.2","","InProgress"
"WI-0013","REQ-0007","ShouldShip","GND-CTRL","P-011","Katya Fairweather","2025-03-23","2025-04-18","17.2","17.9","Closed"
"WI-0014","REQ-0007","ShouldShip","GND-CTRL","P-005","Elena Lindqvist","2025-07-23","2025-07-30","17.9","14.5","Closed"
